WC-1970,A-4,Golden Boot,0,P-02483,Müller,Gerd,T-82
WC-1970,A-5,Silver Boot,0,P-07877,Jairzinho,,T-09
WC-1970,A-6,Bronze Boot,0,P-01348,Cubillas,Teófilo,T-54
WC-1970,A-8,Best Young Player,0,P-01348,Cubillas,Teófilo,T-54
WC-1974,A-4,Golden Boot,0,P-07200,Lato,Grzegorz,T-55
WC-1974,A-5,Silver Boot,1,P-07695,Neeskens,Johan,T-46
WC-1974,A-5,Silver Boot,1,P-00830,Szarmach,Andrzej,T-55
WC-1974,A-8,Best Young Player,0,P-02284,Żmuda,Władysław,T-55
WC-1978,A-1,Golden Ball,0,P-07202,Kempes,Mario,T-03
WC-1978,A-2,Silver Ball,0,P-08703,Rossi,Paolo,T-39
WC-1978,A-3,Bronze Ball,0,P-02014,Dirceu,,T-09
WC-1978,A-4,Golden Boot,0,P-07202,Kempes,Mario,T-03
WC-1978,A-5,Silver Boot,0,P-01348,Cubillas,Teófilo,T-54
WC-1978,A-6,Bronze Boot,0,P-07325,Rensenbrink,Rob,T-46
WC-1978,A-8,Best Young Player,0,P-05548,Cabrini,Antonio,T-39
WC-1982,A-1,Golden Ball,0,P-08703,Rossi,Paolo,T-39
WC-1982,A-2,Silver Ball,0,P-05820,Falcão,,T-09
WC-1982,A-3,Bronze Ball,0,P-08975,Rummenigge,Karl-Heinz,T-82
WC-1982,A-4,Golden Boot,0,P-08703,Rossi,Paolo,T-39
WC-1982,A-5,Silver Boot,0,P-08975,Rummenigge,Karl-Heinz,T-82
WC-1982,A-6,Bronze Boot,0,P-03653,Zico,,T-09
WC-1982,A-8,Best Young Player,0,P-09137,Amoros,Manuel,T-28
WC-1986,A-1,Golden Ball,0,P-06516,Maradona,Diego,T-03
WC-1986,A-2,Silver Ball,0,P-03585,Schumacher,Harald,T-82
WC-1986,A-3,Bronze Ball,0,P-06503,Elkjær,Preben,T-21
WC-1986,A-4,Golden Boot,0,P-02777,Lineker,Gary,T-27
WC-1986,A-5,Silver Boot,1,P-07608,Butragueño,Emilio,T-70
WC-1986,A-5,Silver Boot,1,P-08699,Careca,,T-09
WC-1986,A-5,Silver Boot,1,P-06516,Maradona,Diego,T-03
WC-1986,A-8,Best Young Player,0,P-00872,Scifo,Enzo,T-06
WC-1990,A-1,Golden Ball,0,P-04373,Schillaci,Salvatore,T-39
WC-1990,A-2,Silver Ball,0,P-01993,Matthäus,Lothar,T-82
WC-1990,A-3,Bronze Ball,0,P-06516,Maradona,Diego,T-03
WC-1990,A-4,Golden Boot,0,P-04373,Schillaci,Salvatore,T-39
WC-1990,A-5,Silver Boot,0,P-03413,Skuhravý,Tomáš,T-20
WC-1990,A-6,Bronze Boot,1,P-02777,Lineker,Gary,T-27
WC-1990,A-6,Bronze Boot,1,P-00994,Milla,Roger,T-11
WC-1990,A-8,Best Young Player,0,P-07639,Prosinečki,Robert,T-83
WC-1994,A-1,Golden Ball,0,P-07489,Romário,,T-09
WC-1994,A-2,Silver Ball,0,P-09078,Baggio,Roberto,T-39
WC-1994,A-3,Bronze Ball,0,P-06855,Stoichkov,Hristo,T-10
WC-1994,A-4,Golden Boot,1,P-07023,Salenko,Oleg,T-59
WC-1994,A-4,Golden Boot,1,P-06855,Stoichkov,Hristo,T-10
WC-1994,A-6,Bronze Boot,1,P-08602,Andersson,Kennet,T-71
WC-1994,A-6,Bronze Boot,1,P-07489,Romário,,T-09
WC-1994,A-7,Golden Glove,0,P-09628,Preud'homme,Michel,T-06
WC-1994,A-8,Best Young Player,0,P-08704,Overmars,Marc,T-46
WC-1998,A-1,Golden Ball,0,P-04601,Ronaldo,,T-09
WC-1998,A-2,Silver Ball,0,P-04705,Šuker,Davor,T-17
WC-1998,A-3,Bronze Ball,0,P-01770,Thuram,Lilian,T-28
WC-1998,A-4,Golden Boot,0,P-04705,Šuker,Davor,T-17
WC-1998,A-5,Silver Boot,1,P-05392,Batistuta,Gabriel,T-03
WC-1998,A-5,Silver Boot,1,P-04765,Vieri,Christian,T-39
WC-1998,A-7,Golden Glove,0,P-06099,Barthez,Fabien,T-28
WC-1998,A-8,Best Young Player,0,P-07705,Owen,Michael,T-27
WC-2002,A-1,Golden Ball,0,P-04412,Kahn,Oliver,T-29
WC-2002,A-2,Silver Ball,0,P-04601,Ronaldo,,T-09
WC-2002,A-3,Bronze Ball,0,P-04298,Hong,Myung-bo,T-68
WC-2002,A-4,Golden Boot,0,P-04601,Ronaldo,,T-09
WC-2002,A-5,Silver Boot,1,P-05239,Klose,Miroslav,T-29
WC-2002,A-5,Silver Boot,1,P-00008,Rivaldo,,T-09
WC-2002,A-7,Golden Glove,0,P-04412,Kahn,Oliver,T-29
WC-2002,A-8,Best Young Player,0,P-06818,Donovan,Landon,T-79
WC-2006,A-1,Golden Ball,0,P-03582,Zidane,Zinedine,T-28
WC-2006,A-2,Silver Ball,0,P-08617,Cannavaro,Fabio,T-39
WC-2006,A-3,Bronze Ball,0,P-09247,Pirlo,Andrea,T-39
WC-2006,A-4,Golden Boot,0,P-05239,Klose,Miroslav,T-29
WC-2006,A-5,Silver Boot,0,P-07013,Crespo,Hernán,T-03
WC-2006,A-6,Bronze Boot,0,P-04601,Ronaldo,,T-09
WC-2006,A-7,Golden Glove,0,P-00132,Buffon,Gianluigi,T-39
WC-2006,A-8,Best Young Player,0,P-07597,Podolski,Lukas,T-29
WC-2010,A-1,Golden Ball,0,P-01628,Forlán,Diego,T-80
WC-2010,A-2,Silver Ball,0,P-06373,Sneijder,Wesley,T-46
WC-2010,A-3,Bronze Ball,0,P-04291,Villa,David,T-70
WC-2010,A-4,Golden Boot,0,P-00904,Müller,Thomas,T-29
WC-2010,A-5,Silver Boot,0,P-04291,Villa,David,T-70
WC-2010,A-6,Bronze Boot,0,P-06373,Sneijder,Wesley,T-46
WC-2010,A-7,Golden Glove,0,P-06875,Casillas,Iker,T-70
WC-2010,A-8,Best Young Player,0,P-00904,Müller,Thomas,T-29
WC-2014,A-1,Golden Ball,0,P-06410,Messi,Lionel,T-03
WC-2014,A-2,Silver Ball,0,P-00904,Müller,Thomas,T-29
WC-2014,A-3,Bronze Ball,0,P-06098,Robben,Arjen,T-46
WC-2014,A-4,Golden Boot,0,P-03676,Rodríguez,James,T-15
WC-2014,A-5,Silver Boot,0,P-00904,Müller,Thomas,T-29
WC-2014,A-6,Bronze Boot,0,P-01576,Neymar,,T-09
WC-2014,A-7,Golden Glove,0,P-06554,Neuer,Manuel,T-29
WC-2014,A-8,Best Young Player,0,P-06083,Pogba,Paul,T-28
WC-2018,A-1,Golden Ball,0,P-03056,Modrić,Luka,T-17
WC-2018,A-2,Silver Ball,0,P-04214,Hazard,Eden,T-06
WC-2018,A-3,Bronze Ball,0,P-06140,Griezmann,Antoine,T-28
WC-2018,A-4,Golden Boot,0,P-08448,Kane,Harry,T-27
WC-2018,A-5,Silver Boot,0,P-06140,Griezmann,Antoine,T-28
WC-2018,A-6,Bronze Boot,0,P-02175,Lukaku,Romelu,T-06
WC-2018,A-7,Golden Glove,0,P-05665,Courtois,Thibaut,T-06
WC-2018,A-8,Best Young Player,0,P-02842,Mbappé,Kylian,T-28
